0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-1.0,0.0,15.75,0.375,2.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,120.0,19.0
-1.0,0.0,15.83,7.625,2.0,11.0,4.0,0.125,0.0,1.0,1.0,1.0,2.0,0.0,161.0
-1.0,0.0,15.92,2.875,2.0,11.0,4.0,0.085,0.0,0.0,0.0,0.0,2.0,120.0,1.0
-1.0,0.0,16.0,0.165,2.0,6.0,4.0,1.0,0.0,1.0,2.0,1.0,2.0,320.0,2.0
-1.0,0.0,16.08,0.335,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,160.0,127.0
-1.0,0.0,16.33,0.21,2.0,6.0,4.0,0.125,0.0,0.0,0.0,0.0,2.0,200.0,2.0
-1.0,0.0,16.5,1.25,2.0,11.0,4.0,0.25,0.0,1.0,1.0,0.0,2.0,108.0,99.0
-1.0,0.0,16.92,0.5,2.0,3.0,4.0,0.165,0.0,1.0,6.0,1.0,2.0,240.0,36.0
-1.0,0.0,17.33,9.5,2.0,6.0,4.0,1.75,0.0,1.0,10.0,1.0,2.0,0.0,11.0
-1.0,0.0,17.67,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,86.0,1.0
-1.0,0.0,17.92,0.54,2.0,8.0,4.0,1.75,0.0,1.0,1.0,1.0,2.0,80.0,6.0
-1.0,0.0,17.92,10.21,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,51.0
-1.0,0.0,18.17,10.0,1.0,11.0,8.0,0.165,0.0,0.0,0.0,0.0,2.0,340.0,1.0
-1.0,0.0,18.25,10.0,2.0,9.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,120.0,2.0
-1.0,0.0,18.58,10.0,2.0,2.0,4.0,0.415,0.0,0.0,0.0,0.0,2.0,80.0,43.0
-1.0,0.0,19.17,0.585,1.0,6.0,4.0,0.585,1.0,0.0,0.0,1.0,2.0,160.0,1.0
-1.0,0.0,19.17,5.415,2.0,3.0,8.0,0.29,0.0,0.0,0.0,0.0,2.0,80.0,485.0
-1.0,0.0,19.5,0.165,2.0,11.0,4.0,0.04,0.0,0.0,0.0,1.0,2.0,380.0,1.0
-1.0,0.0,19.58,0.665,1.0,8.0,4.0,1.0,0.0,1.0,1.0,0.0,2.0,2000.0,3.0
-1.0,0.0,19.58,0.665,2.0,9.0,4.0,1.665,0.0,0.0,0.0,0.0,2.0,220.0,6.0
-1.0,0.0,19.75,0.75,2.0,8.0,4.0,0.795,1.0,1.0,5.0,1.0,2.0,140.0,6.0
-1.0,0.0,20.08,1.25,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
-1.0,0.0,20.42,10.5,1.0,14.0,8.0,0.0,0.0,0.0,0.0,1.0,2.0,154.0,33.0
-1.0,0.0,20.75,9.54,2.0,3.0,4.0,0.04,0.0,0.0,0.0,0.0,2.0,200.0,1001.0
-1.0,0.0,20.83,0.5,1.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,260.0,1.0
-1.0,0.0,20.83,8.5,2.0,8.0,4.0,0.165,0.0,0.0,0.0,0.0,2.0,0.0,352.0
-1.0,0.0,21.08,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
-1.0,0.0,21.75,1.75,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,160.0,1.0
-1.0,0.0,21.75,11.75,2.0,8.0,4.0,0.25,0.0,0.0,0.0,1.0,2.0,180.0,1.0
-1.0,0.0,21.92,11.665,2.0,4.0,8.0,0.085,0.0,0.0,0.0,0.0,2.0,320.0,6.0
