,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,6,10,5,6,3,10,6,4,6,14,3,6,2,9,4,11,4,10,5,8,2,7,9,0,8,14,6,6,0,10,2,7
1,0,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8,3,7,4,5,2,7,7,0,7,13,6,8,0,8,1,7
2,4,7,5,5,3,7,8,2,7,7,6,9,0,8,4,8,1,4,0,2,0,7,7,1,7,7,6,8,0,8,2,8
3,1,6,1,4,2,7,7,0,7,7,6,8,0,8,3,8,2,2,1,3,1,7,7,1,8,7,6,8,0,8,3,8
4,1,2,1,3,1,7,7,1,7,7,6,8,0,8,3,8,1,4,1,3,1,7,7,1,8,7,6,9,0,8,3,8
5,1,5,0,7,0,7,7,4,4,7,6,8,0,8,0,8,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8
6,4,8,5,6,3,8,9,1,7,7,6,7,0,7,4,7,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8
7,2,5,0,7,0,7,7,4,4,7,6,8,0,8,0,8,1,4,0,2,0,7,7,1,7,7,6,8,0,8,2,8
8,1,8,2,6,2,7,7,0,8,7,6,8,0,8,3,8,5,10,6,8,4,6,6,2,7,7,6,10,0,9,4,8
9,1,3,0,2,0,7,7,1,7,7,6,8,0,8,2,8,0,8,0,5,0,7,7,4,4,7,6,8,0,8,0,8
10,7,14,6,8,4,10,7,2,5,11,5,6,2,9,5,12,1,3,2,2,0,7,7,1,7,13,6,8,0,8,1,8
11,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8,7,11,6,6,3,8,8,3,6,13,4,5,2,8,6,10
12,3,8,4,6,2,7,7,0,7,13,6,8,0,8,1,8,2,5,4,4,1,7,7,0,7,13,6,8,0,8,1,8
13,2,5,3,3,1,7,8,1,7,14,6,7,0,8,1,7,3,11,6,8,7,11,6,1,6,8,4,5,3,8,5,9
14,1,4,2,2,1,7,7,1,7,13,6,8,0,8,1,8,3,7,4,5,1,6,8,1,8,14,7,8,0,8,1,7
15,2,9,3,7,3,7,7,0,7,7,6,8,0,8,3,8,2,11,2,9,2,7,7,0,8,7,6,8,0,8,3,8
16,0,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8,1,4,2,3,1,7,7,0,7,13,6,8,0,8,1,8
17,1,5,1,3,1,7,7,1,8,7,6,8,0,8,3,8,5,12,5,7,3,9,8,3,6,13,4,5,2,8,5,10
18,2,8,3,6,1,9,7,0,8,14,5,8,0,8,1,8,2,5,3,3,1,7,8,1,8,14,6,7,0,8,1,7
19,5,10,4,6,2,9,7,3,6,13,4,5,2,9,4,10,2,8,3,6,2,7,7,0,7,13,6,8,0,8,1,8
20,3,7,4,5,2,7,7,0,8,14,6,8,0,8,1,8,1,2,1,3,1,7,7,1,7,7,6,8,0,8,3,8
21,2,11,2,8,4,7,7,0,7,7,6,8,0,8,3,8,1,9,0,6,1,7,7,5,3,7,6,8,0,8,0,8
22,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8,1,11,0,8,0,7,7,4,4,7,6,8,0,8,0,8
23,0,6,0,4,0,7,7,5,3,7,6,8,0,8,0,8,7,14,6,8,4,10,6,4,6,14,3,6,2,8,6,10
24,1,4,2,3,1,7,8,0,6,13,6,8,0,8,0,8,1,3,2,2,1,7,7,1,7,13,6,8,0,8,1,8
25,0,3,1,2,1,7,7,1,6,7,6,8,0,8,2,8,3,9,5,6,3,7,7,0,7,13,6,9,0,8,1,8
26,0,0,0,1,0,7,7,4,4,7,6,8,0,8,0,8,6,14,6,8,3,8,7,2,5,13,4,5,2,8,6,10
27,4,8,5,6,3,8,9,1,7,7,6,7,0,7,4,7,3,7,5,5,5,9,7,2,4,8,5,5,3,9,5,6
28,0,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8,4,5,6,5,4,8,9,4,5,7,6,9,3,8,8,7
29,1,5,0,7,0,7,7,4,4,7,6,8,0,8,0,8,3,10,5,7,2,7,7,0,9,14,6,8,0,8,1,8
30,1,7,2,5,2,7,7,0,7,7,6,8,0,8,2,8,1,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8
31,1,10,0,8,1,7,7,5,3,7,6,8,0,8,0,8,1,6,0,4,0,7,7,5,3,7,6,8,0,8,0,8
32,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8,3,11,3,8,4,8,7,0,7,7,6,8,0,8,3,8
33,9,14,6,8,3,10,4,5,5,13,3,8,3,7,5,10,4,5,6,5,4,8,9,4,6,7,7,8,3,8,8,8
34,0,6,0,4,0,7,7,5,3,7,6,8,0,8,0,8,1,4,2,3,1,7,8,0,7,13,6,8,0,8,1,7
35,3,8,5,6,3,8,6,2,7,7,6,7,0,9,4,7,3,8,4,6,2,7,7,0,7,13,6,8,0,8,1,8
36,1,5,0,6,0,7,7,4,4,7,6,8,0,8,0,8,1,8,0,6,0,7,7,4,4,7,6,8,0,8,0,8
37,2,7,4,5,3,10,5,1,5,7,5,5,2,8,4,7,2,5,4,4,1,7,7,0,8,14,6,9,0,8,1,8
38,6,11,4,6,2,10,6,5,5,12,3,6,3,8,5,10,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8
39,7,8,8,9,8,7,8,4,6,6,8,7,4,9,10,9,2,10,2,8,2,8,7,0,9,7,6,7,0,8,3,7
40,1,6,0,4,1,7,7,5,3,7,6,8,0,8,0,8,1,2,1,3,1,7,7,1,8,7,6,8,0,8,3,8
41,2,7,3,5,2,7,9,0,6,13,6,7,0,8,1,7,1,1,1,1,1,7,7,2,7,7,6,8,0,8,2,8
42,2,8,2,6,2,7,7,0,7,7,6,8,0,8,3,8,6,15,4,8,3,11,5,5,4,13,3,8,3,8,5,9
43,3,9,4,6,2,7,7,0,8,14,6,9,0,8,1,8,2,2,1,4,1,7,7,1,8,7,6,8,0,8,3,8
44,3,8,4,6,2,7,8,0,8,14,6,6,0,8,1,7,3,9,4,7,3,7,7,0,7,13,6,8,0,8,1,8
45,4,5,6,5,4,8,9,4,5,7,6,9,3,8,8,7,1,6,1,4,1,7,7,0,7,7,6,8,0,8,2,8
46,1,7,0,5,0,7,7,5,3,7,6,8,0,8,0,8,1,5,1,4,1,7,7,1,8,7,6,8,0,8,3,8
47,0,0,0,1,0,7,7,4,4,7,6,8,0,8,0,8,5,12,5,6,3,6,11,3,5,13,6,4,1,8,5,8
48,2,9,3,7,2,7,7,0,8,13,6,8,0,8,1,8,1,4,2,3,1,7,8,0,7,13,6,8,0,8,1,7
49,1,10,0,8,1,7,7,5,3,7,6,8,0,8,0,8,4,10,5,8,3,5,9,0,7,13,7,6,2,9,3,6
50,1,5,2,4,1,7,7,0,7,13,6,8,0,8,1,8,1,5,3,4,1,7,7,0,8,13,6,8,0,8,1,7
51,2,5,4,4,1,7,7,0,7,13,6,8,0,8,1,8,1,1,0,2,0,7,7,1,7,7,6,8,0,8,2,8
52,0,9,0,6,0,7,7,4,4,7,6,8,0,8,0,8,2,9,2,7,2,7,7,0,8,7,6,8,0,8,3,8
53,0,6,0,4,0,7,7,5,3,7,6,8,0,8,0,8,2,11,0,8,2,7,7,5,3,7,6,8,0,8,0,8
54,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8,1,1,1,3,1,7,7,1,6,7,6,8,0,8,2,8
55,1,10,0,8,1,7,7,5,3,7,6,8,0,8,0,8,2,10,2,8,3,7,7,0,7,7,6,8,0,8,3,8
56,6,12,4,6,2,11,3,4,6,11,2,7,3,8,3,12,2,9,2,7,3,7,7,0,7,7,6,8,0,8,3,8
57,3,8,4,6,2,7,7,0,8,14,6,8,0,8,1,7,2,10,2,7,2,7,7,0,8,7,6,8,0,8,3,8
58,6,12,4,7,3,11,3,4,5,12,2,8,3,8,4,10,1,1,1,2,1,7,7,1,7,7,6,8,0,8,2,8
59,0,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8,3,9,5,7,5,12,5,1,6,8,4,5,1,8,5,10
60,4,9,6,6,3,9,8,2,8,7,6,6,0,8,4,7,1,9,0,6,1,7,7,5,3,7,6,8,0,8,0,8
61,3,9,5,6,3,7,7,0,7,13,6,9,0,8,1,8,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8
62,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8,2,7,3,5,2,6,8,0,7,13,7,8,0,8,1,7
63,1,7,0,5,1,7,7,5,3,7,6,8,0,8,0,8,1,9,0,6,1,7,7,5,3,7,6,8,0,8,0,8
64,2,2,1,3,1,7,7,1,8,7,6,8,0,8,3,8,7,13,6,8,3,10,7,2,5,11,5,6,2,10,5,11
65,3,11,6,8,7,11,6,1,6,8,4,5,3,8,5,9,1,1,1,2,1,7,7,1,7,7,6,8,0,8,2,8
66,3,6,5,7,4,8,8,4,5,7,6,8,3,8,8,8,1,8,2,6,2,7,7,0,7,7,6,8,0,8,2,8
67,3,9,4,7,3,7,8,0,7,13,6,8,0,8,1,8,2,5,3,4,1,7,7,0,8,13,6,8,0,8,1,8
68,0,3,0,4,0,7,7,4,4,7,6,8,0,8,0,8,3,7,4,5,2,7,7,0,7,13,6,8,0,8,1,7
69,5,9,7,6,4,7,6,2,7,7,6,9,0,9,4,8,3,6,4,4,2,5,7,3,7,7,6,12,0,8,4,9
70,7,13,6,7,3,12,5,2,6,12,3,6,2,10,4,12,5,12,4,6,2,11,5,3,6,12,3,7,2,9,4,11
71,1,1,1,2,1,7,7,1,7,7,6,8,0,8,2,8,7,14,6,8,4,8,8,2,6,13,4,5,2,8,6,9
72,5,10,6,8,3,9,6,2,7,7,6,5,0,8,4,7,3,4,4,5,3,7,8,4,5,7,8,7,2,9,8,9
73,0,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8,0,3,1,2,1,7,7,1,6,7,6,8,0,8,2,8
74,2,5,4,4,1,7,7,0,7,13,6,8,0,8,1,8,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8
75,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8
76,1,2,1,3,1,7,7,1,7,7,6,8,0,8,2,8,6,11,7,8,5,7,7,1,7,7,6,8,0,8,4,8
77,4,5,6,5,4,8,9,4,6,7,7,8,3,8,8,8,5,9,4,4,2,9,7,6,4,13,5,8,3,8,5,10
78,6,11,4,6,2,9,6,6,5,13,5,9,2,8,4,9,3,10,4,7,2,7,8,0,8,13,6,7,0,8,1,7
79,2,7,4,5,4,10,6,2,5,8,5,5,3,8,5,6,1,3,1,2,1,8,7,1,7,7,6,7,0,8,2,7
80,2,8,3,6,2,8,7,0,7,13,6,9,0,8,1,8,1,5,2,4,1,7,7,0,7,13,6,8,0,8,1,8
81,3,10,4,7,3,8,7,0,7,13,6,8,0,8,1,8,6,15,4,8,3,11,5,4,5,12,2,7,3,8,5,10
82,3,10,4,8,3,7,7,0,7,13,6,8,0,8,1,8,3,7,4,5,2,9,6,0,7,13,5,8,0,8,1,8
83,4,9,5,7,3,9,6,0,7,13,5,9,0,8,1,8,3,10,5,8,3,8,6,0,7,13,6,9,1,7,2,8
84,1,8,0,6,1,7,7,5,3,7,6,8,0,8,0,8,5,9,7,6,4,6,6,3,7,7,6,12,0,8,4,9
