,1,2,3,4,5,6,7,8
0,0.58,0.61,0.47,0.13,0.5,0.0,0.48,0.22
1,0.43,0.67,0.48,0.27,0.5,0.0,0.53,0.22
2,0.64,0.62,0.49,0.15,0.5,0.0,0.53,0.22
3,0.58,0.44,0.57,0.13,0.5,0.0,0.54,0.22
4,0.42,0.44,0.48,0.54,0.5,0.0,0.48,0.22
5,0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22
6,0.5,0.54,0.48,0.65,0.5,0.0,0.53,0.22
7,0.48,0.45,0.59,0.2,0.5,0.0,0.58,0.34
8,0.55,0.5,0.66,0.36,0.5,0.0,0.49,0.22
9,0.4,0.39,0.6,0.15,0.5,0.0,0.58,0.3
10,0.43,0.39,0.54,0.21,0.5,0.0,0.53,0.27
11,0.42,0.37,0.59,0.2,0.5,0.0,0.52,0.29
12,0.4,0.42,0.57,0.35,0.5,0.0,0.53,0.25
13,0.6,0.4,0.52,0.46,0.5,0.0,0.53,0.22
14,0.66,0.55,0.45,0.19,0.5,0.0,0.46,0.22
15,0.46,0.44,0.52,0.11,0.5,0.0,0.5,0.22
16,0.47,0.39,0.5,0.11,0.5,0.0,0.49,0.4
17,0.58,0.47,0.54,0.11,0.5,0.0,0.51,0.26
18,0.5,0.34,0.55,0.21,0.5,0.0,0.49,0.22
19,0.61,0.6,0.55,0.21,0.5,0.0,0.5,0.25
20,0.45,0.4,0.5,0.16,0.5,0.0,0.5,0.22
21,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22
22,0.73,0.63,0.42,0.3,0.5,0.0,0.49,0.22
23,0.43,0.53,0.52,0.13,0.5,0.0,0.55,0.22
24,0.46,0.53,0.52,0.15,0.5,0.0,0.58,0.22
25,0.51,0.51,0.52,0.51,0.5,0.0,0.54,0.22
26,0.59,0.45,0.53,0.19,0.5,0.0,0.59,0.27
27,0.57,0.47,0.6,0.18,0.5,0.0,0.51,0.22
28,0.63,0.67,0.57,0.24,0.5,0.0,0.49,0.22
29,0.8,0.88,0.36,0.39,0.5,0.0,0.56,0.33
30,0.53,0.54,0.43,0.1,0.5,0.0,0.57,0.32
31,0.51,0.51,0.43,0.87,0.5,0.0,0.52,0.22
