,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
,score,score,score,score,score,score,score,score,score,score,score,score
method,DTM,IF,KNN,LOF,NNDAD,NNDADDIST,NNDADDIST2,OCSVM,WNN,WNNDIST,WNNDIST2,pidforest
dataset,,,,,,,,,,,,
annthyroid,0.7363,0.8232,0.7343,0.7180,0.6542,0.5878,0.5890,0.6342,0.7553,0.6137,0.6157,0.8985
arrhythmia,0.8050,0.8151,0.8057,0.7889,0.8011,0.7895,0.7989,0.7890,0.8036,0.8036,0.8023,0.8295
breastw,0.9955,0.9868,0.9882,0.4758,0.9869,0.9738,0.9942,0.9784,0.9951,0.9941,0.9953,0.9786
cardio,0.9555,0.9256,0.9202,0.7467,0.8985,0.8073,0.9486,0.9322,0.9518,0.9685,0.9561,0.8926
cover,0.9315,0.8915,0.9070,0.6554,0.9297,0.9633,0.9517,0.9509,0.9298,0.9662,0.9087,0.9442
glass,0.8444,0.7184,0.8497,0.7947,0.7647,0.7008,0.6824,0.8148,0.8404,0.8466,0.7604,0.7317
http,0.1713,0.9999,0.1308,0.3635,0.9939,0.9948,0.9944,0.9949,0.9939,0.9948,0.9931,0.9947
ionosphere,0.9310,0.8624,0.9314,0.9016,0.9350,0.7856,0.8316,0.9065,0.9350,0.9298,0.9267,0.8612
letter,0.8999,0.6388,0.8950,0.9037,0.8616,0.8919,0.5274,0.5954,0.9252,0.9146,0.6327,0.7487
lympho,0.9941,1.0000,0.9953,0.9941,0.9930,0.1901,0.9906,0.9930,0.9941,0.9930,0.9941,1.0000
mammography,0.8448,0.8616,0.8461,0.8213,0.8613,0.8495,0.8614,0.8443,0.8614,0.8630,0.8615,0.8650
mnist,0.8630,0.8112,0.8598,0.7420,0.8501,0.4455,0.8428,0.8227,0.8610,0.8199,0.9059,0.7019
musk,1.0000,1.0000,0.9971,0.5279,0.2480,0.1562,0.9426,1.0000,0.9998,1.0000,1.0000,1.0000
optdigits,0.7809,0.7410,0.4189,0.6658,0.4424,0.0905,0.5760,0.5674,0.6328,0.4895,0.9864,0.9069
pendigits,0.9639,0.9582,0.8606,0.5437,0.8637,0.9379,0.9392,0.9607,0.9582,0.9587,0.9595,0.9560
pima,0.7298,0.6727,0.7292,0.6473,0.7295,0.6600,0.6875,0.6480,0.7295,0.7229,0.7286,0.6881
satellite,0.7936,0.7044,0.7081,0.5655,0.6793,0.6972,0.6200,0.6790,0.7842,0.7794,0.7078,0.7435
satimage-2,0.9991,0.9944,0.9986,0.5950,0.9990,0.9387,0.9825,0.9966,0.9990,0.9978,0.9972,0.9939
shuttle,0.9635,0.9976,0.7093,0.5369,0.9905,0.9879,0.9878,0.9874,0.9905,0.9880,0.9879,0.9924
smtp,0.8983,0.9101,0.9344,0.9358,0.9103,0.7559,0.7800,0.7746,0.8511,0.7786,0.8287,0.8840
speech,0.5145,,,,,,,,,,,0.5137
thyroid,0.9506,0.9812,0.9510,0.9464,0.9364,0.8613,0.8624,0.9275,0.9511,0.9214,0.9214,0.9779
vertebral,0.3675,0.3579,0.3761,0.4730,0.3226,0.3378,0.3481,0.4105,0.5000,0.5346,0.3500,0.3094
vowels,0.9832,0.7852,0.9797,0.9485,0.9545,0.8727,0.6105,0.9536,0.9831,0.9721,0.7704,0.7967
wbc,0.9480,0.9373,0.9490,0.9492,0.9477,0.9572,0.9517,0.9466,0.9477,0.9644,0.9558,0.9643
wine,0.8983,0.8366,0.9290,0.9356,0.8861,0.0303,0.8092,0.7180,0.8861,0.7857,0.9269,0.9092
