filename,IF,LOF,OCSVM,KNN,AWNN
annthyroid,0.8232 ,0.7180 ,0.6342 ,0.7343 ,0.7407 
breastw,0.9868 ,0.4671 ,0.9784 ,0.9882 ,0.9916 
cardio,0.9256 ,0.7467 ,0.9322 ,0.9202 ,0.9463 
glass,0.7184 ,0.7947 ,0.8148 ,0.8497 ,0.8573 
ionosphere,0.8624 ,0.9016 ,0.9065 ,0.9314 ,0.9292 
letter,0.6388 ,0.9037 ,0.5954 ,0.8950 ,0.9047 
mammo,0.8617 ,0.8214 ,0.8444 ,0.8461 ,0.8621 
mnist,0.8112 ,0.7420 ,0.8227 ,0.8598 ,0.8584 
musk,1.0000 ,0.5279 ,1.0000 ,0.9971 ,0.9896 
optdigits,0.7410 ,0.6660 ,0.5674 ,0.4189 ,0.7272 
pendigits,0.9582 ,0.5437 ,0.9607 ,0.8606 ,0.9655 
pima,0.6727 ,0.6473 ,0.6480 ,0.7292 ,0.7330 
satellite,0.7105 ,0.5655 ,0.6790 ,0.7082 ,0.7743 
satimage-2,0.9944 ,0.5950 ,0.9966 ,0.9986 ,0.9845 
shuttle,0.9976 ,0.5370 ,0.9874 ,0.7093 ,0.9866 
thyroid,0.9812 ,0.9464 ,0.9275 ,0.9510 ,0.9516 
vertebral,0.3579 ,0.4730 ,0.4105 ,0.3761 ,0.4855 
vowels,0.7852 ,0.9485 ,0.9536 ,0.9797 ,0.9635 
wbc,0.9373 ,0.9492 ,0.9466 ,0.9490 ,0.9522 
wine,0.8366 ,0.9356 ,0.7180 ,0.9290 ,0.9057 
ranksum,61,80,68,54,36
