pima,0.731,0.673,0.647,0.648,0.729,0.689,0.706
vowels,0.983,0.785,0.948,0.954,0.980,0.813,0.937
satellite,0.775,0.711,0.566,0.679,0.708,0.635,0.622
optdigits,0.727,0.741,0.666,0.567,0.419,0.405,0.567
letter,0.904,0.639,0.904,0.595,0.895,0.529,0.919
pima,0.731,0.673,0.647,0.648,0.729,0.689,0.706
musk,1.000,1.000,0.528,1.000,0.997,0.547,0.997
ionosphere,0.937,0.862,0.902,0.906,0.931,0.751,0.928
mnist,0.860,0.811,0.742,0.823,0.860,0.796,0.763
wbc,0.950,0.937,0.949,0.947,0.949,0.298,0.927
thyroid,0.950,0.981,0.946,0.928,0.951,0.930,0.946
shuttle,0.987,0.998,0.537,0.987,0.709,0.990,0.619
glass,0.852,0.718,0.795,0.815,0.850,0.880,0.734
vertebral,0.480,0.358,0.473,0.411,0.376,0.709,0.352
cardio,0.952,0.926,0.747,0.932,0.920,0.894,0.920
satimage-2,0.999,0.994,0.595,0.997,0.999,0.912,0.874
wine,0.897,0.837,0.936,0.718,0.929,0.589,0.460
breastw,0.996,0.987,0.467,0.978,0.988,0.978,0.978
pendigits,0.965,0.958,0.544,0.961,0.861,0.880,0.687
annthyroid,0.741,0.823,0.718,0.634,0.734,0.789,0.734
shuttle,0.987,0.998,0.537,0.987,0.709,0.990,0.619
glass,0.852,0.718,0.795,0.815,0.850,0.880,0.734
vertebral,0.480,0.358,0.473,0.411,0.376,0.709,0.352
cardio,0.952,0.926,0.747,0.932,0.920,0.894,0.920
satimage-2,0.999,0.994,0.595,0.997,0.999,0.912,0.874
wine,0.897,0.837,0.936,0.718,0.929,0.589,0.460
breastw,0.996,0.987,0.467,0.978,0.988,0.978,0.978
pendigits,0.965,0.958,0.544,0.961,0.861,0.880,0.687
annthyroid,0.741,0.823,0.718,0.634,0.734,0.789,0.734
,53,106,156,116,94,130,145
