,method,AWNN,AKNN,BKNN,KDE,KNN,WKNN
dataset,dim,,,,,,
abalone,3,1.07E+04,2.00E+04,2.00E+04,-6.46E+00,-1.31E+01,-1.31E+01
,4,9.78E+04,-7.49E+03,-7.49E+03,-2.32E+01,-3.72E+03,-3.72E+03
,6,-1.73E+09,-4.12E+07,-4.12E+07,-3.15E+02,-1.02E+00,-1.02E+00
cardio,7,-3.24E+17,-1.69E+15,-1.69E+15,-4.01E+01,-1.50E-01,-1.50E-01
,11,-2.38E+30,-2.11E+30,-2.11E+30,-5.09E+03,-2.15E-01,-2.15E-01
,15,-7.91E+45,-1.06E+44,-1.06E+44,-1.05E+06,-7.33E-01,-7.33E-01
credit,5,-4.30E+04,-4.30E+04,-3.87E+03,-2.48E+01,-9.68E-03,-9.68E-03
,8,-5.14E+06,-5.14E+06,-1.78E+03,-5.57E+01,-1.14E-03,-1.14E-03
,11,-4.33E+08,-4.33E+08,-2.32E+04,-7.70E-02,-1.77E-04,-1.77E-04
glass,3,2.54E+06,-7.40E+02,-7.40E+02,-8.27E+00,-1.12E+00,-1.12E+00
,5,-9.36E+04,-9.18E+03,-9.18E+03,-5.21E+01,-1.68E+00,-1.68E+00
,7,-7.00E+11,-4.22E+07,-4.22E+07,-6.42E+02,-5.13E+00,-5.13E+00
heart,14,-1.97E+05,-1.90E+04,-1.90E+04,-1.53E+00,-1.05E-01,-1.05E-01
,22,-1.45E+10,-4.86E+08,-4.86E+08,-7.01E+07,-1.03E+00,-1.03E+00
,31,-3.47E+14,-1.79E+13,-1.79E+13,-1.12E+12,-8.24E+01,-8.24E+01
ionosphere,10,-2.47E+04,-3.34E+02,-3.34E+02,-9.95E-02,-6.69E-05,-6.69E-05
,17,-6.94E+10,-4.31E+08,-4.31E+08,-4.05E-01,-1.48E-06,-1.48E-06
,24,-6.86E+21,-2.21E+13,-2.21E+13,-1.89E+00,-1.05E-07,-1.05E-07
letter,10,-2.74E+09,-3.23E+05,-3.23E+05,-3.10E+02,-8.86E-03,-8.86E-03
,16,-2.32E+17,-4.66E+11,-4.66E+11,-6.22E+05,-4.42E-03,-4.42E-03
,23,-5.80E+25,-1.10E+21,-1.10E+21,-6.71E+09,-1.02E-02,-1.02E-02
lympho,6,4.81E+01,-4.54E+01,-4.54E+01,-1.02E-01,-5.20E-03,-5.20E-03
,10,-1.02E+05,-7.17E+03,-7.17E+03,-1.12E-01,-3.75E-04,-3.75E-04
,13,-2.44E+04,-1.10E+03,-1.10E+03,-7.29E-02,-8.02E-05,-8.02E-05
musk,50,-3.94E+138,-3.52E+118,-3.52E+118,-3.59E+25,-2.22E-22,-2.22E-22
,84,-1.18E+236,-1.10E+184,-1.10E+184,-7.94E+45,-1.43E-27,-1.43E-27
,117,-3.54E+281,-3.54E+281,-3.54E+281,-4.85E+65,-2.63E-29,-2.63E-29
parkinsons,7,-2.41E+09,-2.09E+06,-2.09E+06,-7.33E+01,-9.11E-02,-9.11E-02
,11,-2.62E+12,-1.59E+09,-1.59E+09,-9.54E+03,-1.23E-01,-1.23E-01
,15,-4.01E+17,-2.45E+14,-2.45E+14,-2.20E+06,-3.37E-01,-3.37E-01
pendigits,5,3.13E+04,1.43E+01,1.43E+01,-3.23E+00,1.43E+01,1.43E+01
,8,-1.64E+04,-2.01E+02,-2.01E+02,-2.27E+01,-3.40E-03,-3.40E-03
,12,-1.68E+07,-2.89E+05,-2.89E+05,-2.11E+03,-8.53E-04,-8.53E-04
vowels,4,1.55E+05,1.55E+05,2.27E+02,-6.31E+00,1.55E+05,1.55E+05
,6,-2.07E+05,-2.07E+05,-9.43E+01,-3.72E+01,-2.29E-01,-2.29E-01
,9,-3.45E+09,-3.45E+09,-4.78E+05,-8.77E+02,-3.00E-01,-3.00E-01
winequality,4,1.50E+08,8.49E+02,8.49E+02,-1.97E+01,8.49E+02,8.49E+02
,6,-6.02E+10,-9.24E+04,-9.24E+04,-1.50E+02,-1.80E+01,-1.80E+01
,8,-4.54E+14,-6.62E+08,-6.62E+08,-1.51E+03,-8.77E+01,-8.77E+01
yeast,3,2.03E+05,2.18E+05,2.18E+05,-6.00E+00,2.18E+05,2.18E+05
,4,-3.44E+07,1.43E+03,1.43E+03,-1.42E+01,1.43E+03,1.43E+03
,6,-6.61E+13,2.29E+04,2.29E+04,-1.44E+02,2.29E+04,2.29E+04
