dataset,d,AWNN,AKDE,AKNN,KDE,KNN,WKNN
abalone,3,5.8E+02,-7.8E+01,-3.3E+00,-6.5E+00,-3.9E+01,-1.8E+01
,,4.3E+02,8.4E+00,1.4E+00,3.1E-02,3.2E+01,7.1E+01
,4,-2.4E+03,-5.2E+02,-4.6E+02,-2.3E+01,-8.8E+02,-9.7E+02
,,4.1E+03,2.8E+01,5.8E+01,0.0E+00,2.3E+02,5.3E+02
,6,-2.4E+09,1.2E+05,-5.9E+05,-3.1E+02,-6.6E+05,-1.0E+06
,,1.7E+08,4.6E+05,4.7E+04,8.9E-01,5.2E+04,7.6E+04
australian,4,-2.4E+08,-3.7E+04,-2.2E+06,-2.3E+01,-2.4E+08,-2.4E+08
,,1.3E+08,3.1E+02,4.0E+05,3.1E-01,1.3E+08,1.3E+08
,8,-9.8E+13,-5.4E+10,-9.8E+13,-6.4E+02,-9.8E+13,-9.8E+13
,,8.9E+10,3.5E+09,4.5E+10,2.6E+01,8.9E+10,8.9E+10
,10,-1.2E+13,-3.2E+11,-1.2E+13,-2.9E+03,-1.2E+13,-1.2E+13
,,2.7E+13,7.1E+11,2.7E+13,1.7E+02,2.7E+13,2.7E+13
letter,10,-2.7E+09,-2.2E+08,-1.9E+04,-3.1E+02,-1.9E+04,-3.4E+04
,,1.5E+09,1.2E+08,6.5E+03,1.6E+01,6.5E+03,1.3E+04
,16,-2.3E+17,-2.4E+15,-2.5E+10,-6.2E+05,-2.5E+10,-2.8E+10
,,1.3E+17,9.3E+14,1.4E+10,8.5E+04,1.4E+10,1.5E+10
,23,-5.8E+25,-2.5E+02,-1.2E+16,-6.7E+09,-1.2E+16,-1.8E+16
,,8.0E+23,1.8E+01,1.3E+16,3.3E+08,1.3E+16,2.0E+16
wine-white,4,-7.2E+04,-6.9E+00,-2.2E+01,-1.8E+01,-2.4E+01,-2.5E+01
,,2.3E+05,4.7E-01,2.6E+00,8.9E-02,1.9E+00,1.1E+00
,6,-5.9E+10,-1.5E+05,-8.2E+02,-1.2E+02,-8.2E+02,-1.0E+03
,,3.0E+10,3.3E+05,1.4E+01,8.9E-01,1.4E+01,8.0E+00
,8,-4.6E+14,-1.7E+09,-2.1E+04,-1.1E+03,-2.1E+04,-2.6E+04
,,3.5E+14,1.1E+08,8.5E+02,0.0E+00,8.5E+02,7.6E+02
