distribution,,1,,3,,4,,,,,,,
$d$,methed,MISE,MAE,MISE,MAE,MISE,MAE,,,,,,
2,AWNN,-1.45E+00,1.16E-01,-1.86E-01,4.86E-02,-3.17E+00,3.48E-01,,,,,,
,AKNN,-1.44E+00,1.51E-01,-1.75E-01,5.90E-02,-2.94E+00,4.61E-01,,,,,,
,BKNN,-1.12E+00,5.71E-01,-1.72E-01,5.02E-02,-4.58E+00,4.29E-01,,,,,,
,KDE,-2.63E+00,1.38E-01,-3.09E-01,5.47E-02,-2.29E-02,2.50E+00,,,,,,
,KNN,2.05E+01,8.99E-01,9.26E+00,1.56E-01,-4.96E+00,1.93E+00,,,,,,
,WKNN,-1.45E+00,1.38E-01,-1.85E-01,5.07E-02,-3.05E+00,3.53E-01,,,,,,
5,AWNN,-2.44E+00,5.77E-01,-1.14E-01,1.22E-01,-1.01E+01,5.33E+00,,,,,,
,AKNN,-2.37E+00,6.77E-01,-1.01E-01,1.33E-01,-4.90E+00,7.15E+00,,,,,,
,BKNN,2.37E-01,2.52E+00,-6.85E-03,2.03E-01,-1.48E+00,9.40E+00,,,,,,
,KDE,-4.06E+00,6.65E-01,-7.67E-02,1.64E-01,3.69E-02,1.00E+01,,,,,,
,KNN,1.22E+01,1.80E+00,2.45E+00,1.60E-01,-2.21E+01,9.92E+00,,,,,,
,WKNN,-2.42E+00,5.99E-01,-1.07E-01,1.27E-01,2.17E+00,7.37E+00,,,,,,
8,AWNN,-3.74E+00,1.68E+00,-1.00E-01,1.66E-01,-7.37E+01,2.29E+01,,,,,,
,AKNN,-3.61E+00,1.80E+00,-3.77E-02,1.71E-01,-6.30E+01,2.62E+01,,,,,,
,BKNN,9.47E+00,4.54E+00,-4.91E-03,1.94E-01,-1.24E+03,8.46E+02,,,,,,
,KDE,-4.68E+00,2.10E+00,-2.40E-02,1.88E-01,2.74E-02,3.99E+01,,,,,,
,KNN,1.65E+01,3.26E+00,-1.18E-01,1.67E-01,-9.06E+01,3.87E+01,,,,,,
,WKNN,-3.67E+00,1.72E+00,-8.42E-02,1.68E-01,-6.71E+01,2.63E+01,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
